#,Address,OP,Points,Alpha Gal,Ape Warrior Redux,Base of Bored,Bored 101,Bored Council,Bored Survivors,Bored Town,Bored WOW,Catens,Faceless Portraits,Faceless Totz,Mangmoom,MONO is Bored,Nova Ape,NovaNaut,Robonaut,RoboSkull,The Vintract,Zkalien
55,0x42d0E922d4EA648e2D9d41101e27c2585e6bb308,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x4399ff9C4ac9995aca4cbd0bE12ad896E88c6E88,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x45f1fc9276A11e394A53Bc036402e114F87fd976,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x468D073a86466A254EcA4D408BbA15d9cd42Ad91,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x4859f4091889a247C3F5fA2E4Fca18827Be18529,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x4c5bDEb5Bc269c8BC8E1E4B91EF193fba2c2b4C8,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x50522bBE73a60C40f0507E0693fcb97Eb139187f,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x515c963A133AF20693D86201D2264bA9a8154E25,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x5234E2821F9ECB13BCd24Bdd3107dEc1DdbA5dD5,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x524fdea5EFe5db530E3a2b75cbF8D1C63A875BDD,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x540d8e2b4b9AfD9F00A5aC5EB807eBB2d0CEBEc5,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x58c6A9d1aE571Eb9946440340C70cAb11c693F03,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x59a99D1b5C64BA51cD445840093F6bccdCDab579,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x5AB333234fb5e4F96C901Fac37006cdf7aBF9001,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x5B132C472049bFFa8EF84dB03E282dD04d0D6458,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x626b9Fc5E82b7ae2FBf23d1DC7fFcf2E9346eD9c,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x65ae461DFfDCd6b909697db961CfEAE858BDB40a,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x67744f4b07a3708dA6A2362739cC0872E81A6555,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x67ce74c19cdc9FC596B96778b9C17B10d34AF36d,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x6Aeaab73cFF1aa7da9504Ec1E080D8E136a472f0,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x6F04833195De49aB7021c76F6C756ffa41CaD262,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x71b46144162917d5bDc26C7a662B936D84dC9BAB,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x7234971A32B0E6127a0A0220c46a9C68EC2B5a8b,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x730E3c8ba5789047Ce98873Cb7ECB9405F8D0EB6,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x781926B5298b3e2dF968db6516b584D660E5857B,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x783D830Ff9b9162926f3E1DE4935E2EBc1edD679,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x7B399458a06271B4f87592446058C099607b99A0,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x7d544a853DbcD39a53315E7002F4951a6D2F080d,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x810657D67c68CF7299f7EcBc321b293ee064C5DF,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x848a2480cD4c03dfD2217fDE2d157aCea03553Fe,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x8555F2328Dda5e771514c48C5C6f688e5E9a0FEE,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x86057854D8cF621a0384606FCf454e579e48E808,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x88Dc672624B511DBF08881624629a13AF10aCFCE,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x899dB1321Cad6E975eac0e585B79130057ecAabb,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x89AFC8eB212d53ca0442F59dfFC915afd8c91A01,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x8DF41DB2282b455E9768A927FF22f2C65Ad5c55D,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x8c72dc9BD9Af2921DB19bC950e3C65A15F7E9DC3,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x8c910e87Ac6251372fa98b60d8E69CCC8484b799,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x922F9c4959e88381527DE427503587a901C58CAB,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x9578A7Ae6952B0cdCd0E8186ca3139B77C5aA5b1,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x96079afC8e407F6020b6F2C6a854343A384eA2a5,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x96236aDB640eC620A85898378375cEDf03ca21ff,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x9724df9f26843142c01cAEb99BEd1d04C0256d48,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
